codigo_super_cias,etiqueta
4011001,DIVIDENDOS
4011002,INTERESES FINANCIEROS
4011003,GANANCIA EN INVERSIONES EN ASOCIADAS / SUBSIDIARIAS Y OTRAS
4011004,VALUACION DE INSTRUMENTOS FINANCIEROS A VALOR RAZONABLE CON CAMBIO EN RESULTADOS
4011005,GANANCIA EN VENTA DE TITULOS VALORES
4011006,OTROS INGRESOS  FINANCIEROS
40112,(-) DESCUENTO EN VENTAS
40113,(-) DEVOLUCIONES EN VENTAS
40114,(-) BONIFICACIÓN EN PRODUCTO
40115,(-) OTRAS REBAJAS COMERCIALES
40116,UTILIDAD EN CAMBIO
402,GANANCIA BRUTA
403,OTROS INGRESOS
40301,"GANANCIA EN VENTA DE PROPIEDAD, PLANTA Y EQUIPO"
40302,GANANCIA EN VENTA DE ACTIVOS BIOLÓGICOS
40303,OTROS
501,COSTO DE VENTAS Y PRODUCCIÓN
50101,MATERIALES UTILIZADOS O PRODUCTOS VENDIDOS
5010101,(+) INVENTARIO INICIAL DE BIENES NO PRODUCIDOS POR LA COMPAÑIA
5010102,(+) COMPRAS NETAS LOCALES DE BIENES NO PRODUCIDOS POR LA COMPAÑIA
5010103,(+) IMPORTACIONES DE BIENES NO PRODUCIDOS POR LA COMPAÑIA
5010104,(-) INVENTARIO FINAL DE BIENES NO PRODUCIDOS POR LA COMPAÑIA
5010105,(+) INVENTARIO INICIAL DE MATERIA PRIMA
5010106,(+) COMPRAS NETAS LOCALES DE MATERIA PRIMA
5010107,(+) IMPORTACIONES DE MATERIA PRIMA
5010108,(-) INVENTARIO FINAL DE MATERIA PRIMA
5010109,(+) INVENTARIO INICIAL DE PRODUCTOS EN PROCESO
5010110,(-) INVENTARIO FINAL DE PRODUCTOS EN PROCESO
5010111,(+) INVENTARIO INICIAL PRODUCTOS TERMINADOS
5010112,(-) INVENTARIO FINAL DE PRODUCTOS TERMINADOS
50102,(+) MANO DE OBRA DIRECTA
5010201,SUELDOS Y BENEFICIOS SOCIALES
5010202,GASTOS PLANES DE BENEFICIOS A EMPLEADOS
50103,(+) MANO DE OBRA INDIRECTA
5010301,SUELDOS Y BENEFICIOS SOCIALES
5010302,GASTO PLANES DE BENEFICIOS A EMPLEADOS
50104,(+) OTROS COSTOS INDIRECTOS DE FABRICACION
5010401,"DEPRECIACIÓN PROPIEDADES, PLANTA Y EQUIPO"
5010402,DETERIORO O PERDIDAS DE ACTIVOS BIOLOGICOS
5010403,"DETERIORO DE PROPIEDAD, PLANTA Y EQUIPO"
5010404,EFECTO VALOR NETO DE REALIZACION DE INVENTARIOS
5010405,GASTO POR GARANTIAS EN VENTA DE PRODUCTOS O SERVICIOS
5010406,MANTENIMIENTO Y REPARACIONES
5010407,SUMINISTROS MATERIALES Y REPUESTOS
5010408,OTROS COSTOS DE PRODUCCIÓN
50105,COSTOS DE CONTRATOS DE CONSTRUCCIONES
5010501,COSTOS DE ACUERDO A PORCENTAJES O GRADOS DE TERMINACIÓN
502,GASTOS
50201,GASTOS DE VENTA
5020101,"SUELDOS, SALARIOS Y DEMÁS REMUNERACIONES"
5020102,APORTES A LA SEGURIDAD SOCIAL (INCLUIDO FONDO DE RESERVA)
5020103,BENEFICIOS SOCIALES E INDEMNIZACIONES
5020104,GASTO PLANES DE BENEFICIOS A EMPLEADOS
5020105,"HONORARIOS, COMISIONES Y DIETAS A PERSONAS NATURALES"
5020106,REMUNERACIONES A OTROS TRABAJADORES AUTÓNOMOS
5020107,HONORARIOS A EXTRANJEROS POR SERVICIOS OCASIONALES
5020108,MANTENIMIENTO Y REPARACIONES
5020109,ARRENDAMIENTO
5020110,COMISIONES
5020111,PROMOCIÓN Y PUBLICIDAD
5020112,COMBUSTIBLES
5020113,LUBRICANTES
5020114,SEGUROS Y REASEGUROS (PRIMAS Y CESIONES)
5020115,TRANSPORTE
5020116,"GASTOS DE GESTIÓN (AGASAJOS A ACCIONISTAS, TRABAJADORES Y CLIENTES)"
5020117,GASTOS DE VIAJE
5020118,"AGUA, ENERGÍA, LUZ, Y TELECOMUNICACIONES"
5020119,NOTARIOS Y REGISTRADORES DE LA PROPIEDAD O MERCANTILES
5020120,DEPRECIACIONES:
502012001,"PROPIEDADES, PLANTA Y EQUIPO"
502012002,PROPIEDADES DE INVERSIÓN
502012003,ACTIVOS POR DERECHO DE USO
5020121,AMORTIZACIONES
502012101,INTANGIBLES
502012102,OTROS ACTIVOS
5020122,GASTO DETERIORO
502012201,"PROPIEDADES, PLANTA Y EQUIPO"
502012202,INVENTARIOS
502012203,INSTRUMENTOS FINANCIEROS
502012204,INTANGIBLES
502012205,CUENTAS POR COBRAR
502012206,OTROS ACTIVOS
502012207,DERECHOS DE USO POR ACTIVOS ARRENDADOS
5020123,GASTOS POR CANTIDADES ANORMALES DE UTILIZACION EN EL PROCESO DE PRODUCCIÓN:
502012301,MANO DE OBRA
502012302,MATERIALES
502012303,COSTOS DE PRODUCCION
5020124,GASTO POR REESTRUCTURACION
5020125,VALOR NETO DE REALIZACION DE INVENTARIOS
5020126,GASTO IMPUESTO A LA RENTA (ACTIVOS Y PASIVOS DIFERIDOS)
5020127,SUMINISTROS Y MATERIALES
5020128,OTROS GASTOS
50202,GASTOS ADMINISTRATIVOS
5020201,"SUELDOS, SALARIOS Y DEMÁS REMUNERACIONES"
5020202,APORTES A LA SEGURIDAD SOCIAL (INCLUIDO FONDO DE RESERVA)
5020203,BENEFICIOS SOCIALES E INDEMNIZACIONES
5020204,GASTO PLANES DE BENEFICIOS A EMPLEADOS
5020205,"HONORARIOS, COMISIONES Y DIETAS A PERSONAS NATURALES"
5020206,REMUNERACIONES A OTROS TRABAJADORES AUTÓNOMOS
5020207,HONORARIOS A EXTRANJEROS POR SERVICIOS OCASIONALES
5020208,MANTENIMIENTO Y REPARACIONES
5020209,ARRENDAMIENTO
5020210,COMISIONES
5020211,PROMOCIÓN Y PUBLICIDAD
5020212,COMBUSTIBLES
5020213,LUBRICANTES
5020214,SEGUROS Y REASEGUROS (PRIMAS Y CESIONES)
5020215,TRANSPORTE
5020216,"GASTOS DE GESTIÓN (AGASAJOS A ACCIONISTAS, TRABAJADORES Y CLIENTES)"
5020217,GASTOS DE VIAJE
5020218,"AGUA, ENERGÍA, LUZ, Y TELECOMUNICACIONES"
5020219,NOTARIOS Y REGISTRADORES DE LA PROPIEDAD O MERCANTILES
5020220,"IMPUESTOS, CONTRIBUCIONES Y OTROS"
5020221,DEPRECIACIONES
502022101,"PROPIEDADES, PLANTA Y EQUIPO"
502022102,PROPIEDADES DE INVERSIÓN
502022103,ACTIVOS POR DERECHO DE USO
5020222,AMORTIZACIONES
502022201,INTANGIBLES
502022202,OTROS ACTIVOS
5020223,GASTO DETERIORO:
502022301,"PROPIEDADES, PLANTA Y EQUIPO"
502022302,INVENTARIOS
502022303,INSTRUMENTOS FINANCIEROS
502022304,INTANGIBLES
502022305,CUENTAS POR COBRAR
502022306,OTROS ACTIVOS
502022307,DERECHOS DE USO POR ACTIVOS ARRENDADOS
5020224,GASTOS POR CANTIDADES ANORMALES DE UTILIZACION EN EL PROCESO DE PRODUCCIÓN
502022401,MANO DE OBRA
502022402,MATERIALES
502022403,COSTOS DE PRODUCCION
5020225,GASTO POR REESTRUCTURACION
5020226,VALOR NETO DE REALIZACION DE INVENTARIOS
5020227,GASTO IMPUESTO A LA RENTA (ACTIVOS Y PASIVOS DIFERIDOS)
5020228,SUMINISTROS Y MATERIALES
5020229,OTROS GASTOS
50203,GASTOS FINANCIEROS
5020301,INTERESES
502030101,INTERESES POR PRESTAMOS
502030102,INTERESES POR ARRENDAMIENTOS
502030103,INTERESES POR VALORES EMITIDOS
502030104,OTROS INTERESES
5020302,COMISIONES
502030201,COMISIONES PAGADAS POR INTERMEDIACIÓN DE VALORES:
50203020101,POR OPERACIONES BURSATILES
50203020103,POR CONTRATOS DE UNDERWRITING
50203020104,POR COMISIÓN EN OPERACIONES
50203020105,POR INSCRIPCIONES
50203020106,POR MANTENIMIENTO DE INSCRIPCIÓN
5020303,POR PRESTACIÓN DE SERVICIOS DE ADMINISTRACIÓN Y MANEJO
502030301,PORTAFOLIO DE TERCEROS
502030302,FONDOS ADMINISTRADOS
502030303,FONDOS COLECTIVOS
502030304,TITULARIZACIÓN
502030305,FIDEICOMISOS MERCANTILES
502030306,ENCARGOS FIDUCIARIOS
502030307,POR CALIFICACION DE RIESGO
502030308,POR REPRESENTACION DE OBLIGACIONISTAS
5020304,"CUSTODIA, REGISTRO, COMPENSACIÓN Y LIQUIDACIÓN"
502030401,CUSTODIA VALORES MATERIALIZADOS
502030402,CUSTODIA VALORES DESMATERIALIZADOS
502030403,COMPENSACIÓN Y LIQUIDACIÓN DE VALORES
502030404,OTROS
5020305,GASTOS POR SERVICIOS DE ASESORIA Y ESTRUCTURACION
502030501,POR ASESORÍA
502030502,POR ESTRUCTURACIÓN DE OFERTA PÚBLICA DE VALORES
502030503,POR ESTRUCTURACIÓN DE NEGOCIOS FIDUCIARIOS
502030504,OTROS
5020306,GASTOS DE FINANCIAMIENTO DE ACTIVOS
5020307,DIFERENCIA EN CAMBIO
5020308,VALUACION DE INSTRUMENTOS FINANCIEROS A VALOR RAZONABLE CON CAMBIO EN RESULTADOS
5020309,PERDIDA EN VENTA DE TITULOS VALORES
5020310,"PERDIDA EN VENTA DE PROPIEDAD, PLANTA Y EQUIPO"
5020311,PERDIDA EN VENTA DE ACTIVOS BIOLOGICOS
5020312,OTROS GASTOS FINANCIEROS
50204,OTROS GASTOS
5020401,PERDIDA EN INVERSIONES EN ASOCIADAS / SUBSIDIARIAS Y OTRAS
5020402,OTROS
600,GANANCIA (PÉRDIDA) ANTES DE 15% A TRABAJADORES E IMPUESTO A LA RENTA DE OPERACIONES CONTINUADAS
601,15% PARTICIPACIÓN TRABAJADORES
602,GANANCIA (PÉRDIDA) ANTES DE IMPUESTOS
603,IMPUESTO A LA RENTA CAUSADO
604,GANANCIA (PÉRDIDA) DE OPERACIONES CONTINUADAS ANTES DEL IMPUESTO DIFERIDO
605,(-) GASTO POR IMPUESTO DIFERIDO
606,(+) INGRESO POR IMPUESTO DIFERIDO
607,GANANCIA (PERDIDA) DE OPERACIONES CONTINUADAS
700,INGRESOS POR OPERACIONES DISCONTINUADAS
701,GASTOS POR OPERACIONES DISCONTINUADAS
702,"GANANCIA (PÉRDIDA) ANTES DE 15% A TRABAJADORES E IMPUESTO A LA RENTA DE OPERACIONES
DISCONTINUADAS"
703,15% PARTICIPACIÓN TRABAJADORES
704,GANANCIA (PÉRDIDA) ANTES DE IMPUESTOS DE OPERACIONES DISCONTINUADAS
705,IMPUESTO A LA RENTA CAUSADO
706,GANANCIA (PÉRDIDA) DE OPERACIONES DISCONTINUADAS
707,GANANCIA (PÉRDIDA) NETA DEL PERIODO
800,OTRO RESULTADO INTEGRAL
80001,COMPONENTES DEL OTRO RESULTADO INTEGRAL
80002,DIFERENCIA DE CAMBIO POR CONVERSIÓN
80003,VALUACIÓN DE ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIO EN OTRO RESULTADO INTEGRAL
80004,"GANANCIAS POR REVALUACIÓN DE PROPIEDADES, PLANTA  Y EQUIPO"
80005,GANANCIAS (PÉRDIDAS) ACTUARIALES POR PLANES DE BENEFICIOS DEFINIDOS
80006,REVERSION DEL DETERIORO (PÉRDIDA POR DETERIORO) DE UN ACTIVO REVALUADO
80007,PARTICIPACION DE OTRO RESULTADO INTEGRAL DE ASOCIADAS
80008,IMPUESTO SOBRE LAS GANANCIAS RELATIVO A OTRO RESULTADO INTEGRAL
80009,OTROS (DETALLAR EN NOTAS)
801,RESULTADO INTEGRAL TOTAL DEL AÑO
80101,PROPIETARIOS DE LA CONTROLADORA
80102,PARTICIPACION NO CONTROLADORA (INFORMATIVO)
